,Point,PlotName,date,PositionX,PositionY,X.LiveGrass,X.LiveForb,X.Shrub,X.DeadGrass,X.OtherDead,X.Litter,X.Bare,Observer,X.DeadAndLitter,gr,fire,burnyr,elev,soil,slope,Spring,BrLagOne,BrLagTwo,time,month,year,month,year,mgmt
2428,veg_C3SB_09,C3SB,5/26/2022,711505,4330305,0.15,0.15,0,0,0,10,0.6,ENS,0.1,cattle,3,1,422.5050049,4530,0.163735256,142.2,256.5,384.1,2977,5,2022,5,2022,cattle3
2429,veg_C3SB_07,C3SB,5/26/2022,711697,4330126,0.1,0.25,0,0,0,5,0.6,ENS,0.05,cattle,3,1,416.5420227,4530,0.069825079,142.2,256.5,384.1,2977,5,2022,5,2022,cattle3
2430,veg_C3SB_08,C3SB,5/26/2022,711211,4330534,0.4,0.1,0,0,3,17,0.3,ENS,0.17,cattle,3,1,416.6360168,4530,0.212775992,142.2,256.5,384.1,2977,5,2022,5,2022,cattle3
2431,veg_2D_06,2D,5/27/2022,711322,4328529,0.5,0.35,0,15,0,0,0.001,ENS,0.15,ungr,2,0,430.0200195,4530,0.12757054,142.2,256.5,384.1,2978,5,2022,5,2022,ungr2
2432,veg_2D_02,2D,5/27/2022,711582,4328665,0.6,0.05,0,30,0,5,0.001,ENS,0.35,ungr,2,0,441.73703,4530,0.106522189,142.2,256.5,384.1,2978,5,2022,5,2022,ungr2
2433,veg_2D_05,2D,5/27/2022,711185,4328310,0.4,0.3,0,25,0,5,0.001,ENS,0.3,ungr,2,0,424.0900269,4530,0.344176921,142.2,256.5,384.1,2978,5,2022,5,2022,ungr2
2434,veg_2D_01,2D,5/27/2022,711268,4328079,0.5,0.001,0,45,5,0,0.001,ENS,0.45,ungr,2,0,423.6200256,4783,0.048639554,142.2,256.5,384.1,2978,5,2022,5,2022,ungr2
2435,veg_2D_07,2D,5/27/2022,711244,4327976,0.45,0.3,0,20,0,5,0.001,ENS,0.25,ungr,2,0,424.2000122,4783,0.142752993,142.2,256.5,384.1,2978,5,2022,5,2022,ungr2
2436,veg_2D_09,2D,5/27/2022,711478,4328426,0.45,0.15,0,40,0,0,0.001,ENS,0.4,ungr,2,0,441.0040283,4530,0.011256173,142.2,256.5,384.1,2978,5,2022,5,2022,ungr2
2437,veg_2D_03,2D,5/27/2022,711175,4328858,0.3,0.1,0,60,0,0,0.001,ENS,0.6,ungr,2,0,441.6750183,4530,0.032649741,142.2,256.5,384.1,2978,5,2022,5,2022,ungr2
2438,veg_2D_04,2D,5/27/2022,711210,4328737,0.75,0.05,0,20,0,0,0.001,ENS,0.2,ungr,2,0,440.4440308,4530,0.026399438,142.2,256.5,384.1,2978,5,2022,5,2022,ungr2
2439,veg_2D_08,2D,5/27/2022,711160,4328598,0.55,0.25,5,15,0,0,0.001,ENS,0.15,ungr,2,0,439.131012,4530,0.06636167,142.2,256.5,384.1,2978,5,2022,5,2022,ungr2
2440,veg_2D_10,2D,5/27/2022,711116,4328512,0.5,0.2,0,25,0,5,0.001,ENS,0.3,ungr,2,0,440.1510315,4530,0.046172346,142.2,256.5,384.1,2978,5,2022,5,2022,ungr2
2441,veg_N2A_05,N2A,5/27/2022,706612,4329046,0.85,0.15,0,0,0,0,0.001,MRB,0.001,bison,2,1,406.8080139,4530,0.084192848,142.2,256.5,384.1,2978,5,2022,5,2022,bison2
2442,veg_N2A_02,N2A,5/27/2022,706566,4329308,0.48,0.02,0,0,0,0,0.5,MRB,0.001,bison,2,1,398.815033,4530,0.118085491,142.2,256.5,384.1,2978,5,2022,5,2022,bison2
2443,veg_N2A_04,N2A,5/27/2022,706893,4329394,0.4,0.2,0,0,0,0,0.4,MRB,0.001,bison,2,1,380.1530151,4590,0.208958024,142.2,256.5,384.1,2978,5,2022,5,2022,bison2
2444,veg_N2A_09,N2A,5/27/2022,706683,4329292,0.55,0.45,0,0,0,0,0.15,MRB,0.001,bison,2,1,388.7760315,4590,0.190333115,142.2,256.5,384.1,2978,5,2022,5,2022,bison2
2445,veg_N2A_08,N2A,5/27/2022,706474,4329493,0.8,0.001,0,0,0,0,0.2,MRB,0.001,bison,2,1,384.6990051,4530,0.298541171,142.2,256.5,384.1,2978,5,2022,5,2022,bison2
2446,veg_N2A_07,N2A,5/27/2022,706825,4329668,0.33,0.12,0,0,0,0,0.55,MRB,0.001,bison,2,1,365.8480225,4590,0.117399228,142.2,256.5,384.1,2978,5,2022,5,2022,bison2
2447,veg_N2A_01,N2A,5/27/2022,706572,4329420,0.25,0.35,0,0,0,0,0.4,MRB,0.001,bison,2,1,398.4620056,4530,0.04406541,142.2,256.5,384.1,2978,5,2022,5,2022,bison2
2448,veg_N2A_10,N2A,5/27/2022,706587,4329420,0.65,0.15,0,0,0,0,0.2,MRB,0.001,bison,2,1,397.2750244,4530,0.090651973,142.2,256.5,384.1,2978,5,2022,5,2022,bison2
2449,veg_N2A_03,N2A,5/27/2022,707016,4330267,0.2,0.35,0,0,0,0,0.45,MRB,0.001,bison,2,1,349.5510254,4590,0.102091532,142.2,256.5,384.1,2978,5,2022,5,2022,bison2
2450,veg_N2A_06,N2A,5/27/2022,707249,4329795,0.55,0.25,0,5,0,0,0.15,MRB,0.05,bison,2,1,370.3990173,4590,0.111306227,142.2,256.5,384.1,2978,5,2022,5,2022,bison2
2451,veg_N1A_03,N1A,5/27/2022,707867,4329916,0.1,0.3,0,0,0,5,0.55,MDR,0.05,bison,1,1,395.7960205,4530,0.303905561,142.2,256.5,384.1,2978,5,2022,5,2022,bison1
2452,veg_N1A_03,N1A,5/27/2022,707867,4329916,0.1,0.3,0,0,0,5,0.55,MDR,0.05,bison,1,1,395.7960205,4530,0.303905561,142.2,256.5,384.1,2978,5,2022,5,2022,bison1
2453,veg_N1A_04,N1A,5/27/2022,708005,4329544,0.1,0.1,0,0,0,10,0.7,MDR,0.1,bison,1,1,407.3570251,4530,0.028862539,142.2,256.5,384.1,2978,5,2022,5,2022,bison1
2454,veg_N1A_04,N1A,5/27/2022,708005,4329544,0.1,0.1,0,0,0,10,0.7,MDR,0.1,bison,1,1,407.3570251,4530,0.028862539,142.2,256.5,384.1,2978,5,2022,5,2022,bison1
2455,veg_N1A_03,N1B,5/27/2022,707867,4329916,0.25,0.2,0,5,5,15,0.3,MDR,0.2,bison,1,1,395.7960205,4530,0.303905561,142.2,256.5,384.1,2978,5,2022,5,2022,bison1
2456,veg_N1A_01,N1B,5/27/2022,708166,4329534,0.15,0.2,0,0,10,35,0.2,MDR,0.35,bison,1,1,396.4330139,4590,0.265311411,142.2,256.5,384.1,2978,5,2022,5,2022,bison1
2457,veg_N1A_02,N1A,5/27/2022,708490,4329738,0.15,0.1,0,0,0,5,0.7,MDR,0.05,bison,1,1,365.4040222,4590,0.118172222,142.2,256.5,384.1,2978,5,2022,5,2022,bison1
2458,veg_N1A_02,N1A,5/27/2022,708490,4329738,0.15,0.1,0,0,0,5,0.7,MDR,0.05,bison,1,1,365.4040222,4590,0.118172222,142.2,256.5,384.1,2978,5,2022,5,2022,bison1
2459,veg_N1A_05,N1A,5/27/2022,708313,4329960,0.05,0.05,0,5,0,5,0.8,MDR,0.1,bison,1,1,369.2210083,4590,0.157521089,142.2,256.5,384.1,2978,5,2022,5,2022,bison1
2460,veg_N1A_05,N1A,5/27/2022,708313,4329960,0.05,0.05,0,5,0,5,0.8,MDR,0.1,bison,1,1,369.2210083,4590,0.157521089,142.2,256.5,384.1,2978,5,2022,5,2022,bison1
2461,veg_N1A_08,N1A,5/27/2022,708325,4330043,0.1,0.1,0,0,0,15,0.65,MDR,0.15,bison,1,1,364.5040283,4590,0.108913592,142.2,256.5,384.1,2978,5,2022,5,2022,bison1
2462,veg_N1A_08,N1A,5/27/2022,708325,4330043,0.1,0.1,0,0,0,15,0.65,MDR,0.15,bison,1,1,364.5040283,4590,0.108913592,142.2,256.5,384.1,2978,5,2022,5,2022,bison1
2463,veg_N1A_07,N1A,5/27/2022,708020,4330036,0.2,0.25,0,0,0,10,0.45,MDR,0.1,bison,1,1,371.8970032,4590,0.093011256,142.2,256.5,384.1,2978,5,2022,5,2022,bison1
2464,veg_N1A_07,N1A,5/27/2022,708020,4330036,0.2,0.25,0,0,0,10,0.45,MDR,0.1,bison,1,1,371.8970032,4590,0.093011256,142.2,256.5,384.1,2978,5,2022,5,2022,bison1
2465,veg_N1A_01,N1A,5/27/2022,708166,4329534,0.15,0.25,0,0,0,15,0.45,MDR,0.15,bison,1,1,396.4330139,4590,0.265311411,142.2,256.5,384.1,2978,5,2022,5,2022,bison1
2466,veg_N1A_01,N1A,5/27/2022,708166,4329534,0.15,0.25,0,0,0,15,0.45,MDR,0.15,bison,1,1,396.4330139,4590,0.265311411,142.2,256.5,384.1,2978,5,2022,5,2022,bison1
2467,veg_N1A_09,N1A,5/27/2022,708283,4329552,0.25,0.25,0,0,0,5,0.45,MDR,0.05,bison,1,1,384.1700134,4590,0.222631048,142.2,256.5,384.1,2978,5,2022,5,2022,bison1
2468,veg_N1A_09,N1A,5/27/2022,708283,4329552,0.25,0.25,0,0,0,5,0.45,MDR,0.05,bison,1,1,384.1700134,4590,0.222631048,142.2,256.5,384.1,2978,5,2022,5,2022,bison1
2469,veg_N1A_06,N1A,5/27/2022,708318,4329635,0.1,0.2,0,0,5,5,0.6,MDR,0.05,bison,1,1,390.9730225,4590,0.122089931,142.2,256.5,384.1,2978,5,2022,5,2022,bison1
2470,veg_N1A_06,N1A,5/27/2022,708318,4329635,0.1,0.2,0,0,5,5,0.6,MDR,0.05,bison,1,1,390.9730225,4590,0.122089931,142.2,256.5,384.1,2978,5,2022,5,2022,bison1
2471,veg_N1A_10,N1A,5/27/2022,708343,4329675,0.1,0.1,0,0,0,5,0.75,MDR,0.05,bison,1,1,385.98703,4590,0.257187597,142.2,256.5,384.1,2978,5,2022,5,2022,bison1
2472,veg_N1A_10,N1A,5/27/2022,708343,4329675,0.1,0.1,0,0,0,5,0.75,MDR,0.05,bison,1,1,385.98703,4590,0.257187597,142.2,256.5,384.1,2978,5,2022,5,2022,bison1
2473,veg_N1B_05,N1B,5/27/2022,710177,4328844,0.07,0.25,0,0,3,5,0.6,ENS,0.05,bison,1,1,407.1800232,4530,0.159021592,142.2,256.5,384.1,2978,5,2022,5,2022,bison1
2474,veg_N1B_07,N1B,5/27/2022,710224,4328665,0.1,0.2,0,0,0,0,0.7,ENS,0.001,bison,1,1,414.3570251,4530,0.057401801,142.2,256.5,384.1,2978,5,2022,5,2022,bison1
2475,veg_N1B_02,N1B,5/27/2022,709909,4328481,0.2,0.3,0,0,5,20,0.25,ENS,0.2,bison,1,1,404.0870056,4530,0.05067779,142.2,256.5,384.1,2978,5,2022,5,2022,bison1
2476,veg_COB_10,COB,5/28/2022,713212,4334483,0.6,0.25,0,0,0,0,0.15,ENS,0.001,cattle,3,0,NA,NA,NA,142.2,256.5,384.1,2979,5,2022,5,2022,cattle3
2477,veg_C3B_04,C3B,5/30/2022,711659,4329519,0.4,0.2,0,20,5,2,0.13,ENS,0.22,cattle,3,0,438.9310303,4530,0.073838498,142.2,256.5,384.1,2981,5,2022,5,2022,cattle3
2478,veg_C3B_07,C3B,5/30/2022,712059,4329494,0.4,0.3,0,0,10,20,0.001,ENS,0.2,cattle,3,0,440.2850342,4530,0.036017223,142.2,256.5,384.1,2981,5,2022,5,2022,cattle3
2479,veg_C3B_10,C3B,5/30/2022,712482,4329548,0.3,0.2,20,0,5,10,0.15,ENS,0.1,cattle,3,0,418.9480286,4625,0.046181808,142.2,256.5,384.1,2981,5,2022,5,2022,cattle3
2480,veg_C3B_09,C3B,5/30/2022,712242,4329546,0.001,0.001,100,0,0,0,0.001,ENS,0.001,cattle,3,0,424.1400146,4530,0.095911734,142.2,256.5,384.1,2981,5,2022,5,2022,cattle3
2481,veg_C3B_08,C3B,5/30/2022,712000,4329789,0.35,0.2,0,10,5,25,0.05,ENS,0.35,cattle,3,0,431.3100281,4530,0.148773097,142.2,256.5,384.1,2981,5,2022,5,2022,cattle3
2482,veg_C3B_05,C3B,5/30/2022,711832,4329701,0.4,0.45,0,0,5,10,0.001,ENS,0.1,cattle,3,0,433.565033,4530,0.148552339,142.2,256.5,384.1,2981,5,2022,5,2022,cattle3
2483,veg_C3B_02,C3B,5/30/2022,712136,4329632,0.45,0.3,5,0,5,10,0.05,ENS,0.1,cattle,3,0,424.0950317,4530,0.106096289,142.2,256.5,384.1,2981,5,2022,5,2022,cattle3
2484,veg_C3B_06,C3B,5/30/2022,712708,4329518,0.3,0.7,0,0,0,0,0.001,ENS,0.001,cattle,3,0,419.9980164,4625,0.033783431,142.2,256.5,384.1,2981,5,2022,5,2022,cattle3
2485,veg_C3B_03,C3B,5/30/2022,712284,4329692,0.55,0.15,0,20,0,10,0.001,ENS,0.3,cattle,3,0,416.7740173,4530,0.067732547,142.2,256.5,384.1,2981,5,2022,5,2022,cattle3
2486,veg_C3B_01,C3B,5/30/2022,712532,4329925,0.75,0.15,0,10,0,0,0.001,ENS,0.1,cattle,3,0,415.2850342,4530,0.039881799,142.2,256.5,384.1,2981,5,2022,5,2022,cattle3
2487,veg_C3SA_02,C3SA,5/30/2022,710921,4331317,0.3,0.05,0,55,5,5,0.001,ENS,0.6,cattle,3,0,390.8890076,4590,0.252756856,142.2,256.5,384.1,2981,5,2022,5,2022,cattle3
2488,veg_N2B_07,N2B,5/30/2022,708639,4329097,0.15,0.3,0,10,5,10,0.3,NAW,0.2,bison,2,0,385.5490112,4590,0.150627919,142.2,256.5,384.1,2981,5,2022,5,2022,bison2
2489,veg_N2B_08,N2B,5/30/2022,708479,4329415,0.4,0.35,0,10,5,10,0.05,NAW,0.2,bison,2,0,365.4260254,4051,0.082319175,142.2,256.5,384.1,2981,5,2022,5,2022,bison2
2490,veg_N2B_03,N2B,5/30/2022,708027,4328569,0.25,0.3,0,5,0,25,0.1,NAW,0.3,bison,2,0,408.8750305,4530,0.055911945,142.2,256.5,384.1,2981,5,2022,5,2022,bison2
2491,veg_N2B_04,N2B,5/30/2022,708697,4328826,0.2,0.2,0,0,5,25,0.3,NAW,0.25,bison,2,0,401.7290039,4530,0.109623037,142.2,256.5,384.1,2981,5,2022,5,2022,bison2
2492,veg_N2B_09,N2B,5/30/2022,708400,4328973,0.15,0.15,0,35,20,10,0.05,NAW,0.45,bison,2,0,394.1060181,4590,0.182714069,142.2,256.5,384.1,2981,5,2022,5,2022,bison2
2493,veg_N2B_10,N2B,5/30/2022,708528,4329037,0.5,0.25,0,5,5,5,0.1,NAW,0.1,bison,2,0,401.4360046,4530,0.033836909,142.2,256.5,384.1,2981,5,2022,5,2022,bison2
2494,veg_N2B_02,N2B,5/30/2022,708081,4329230,0.25,0.2,0,20,0,5,0.3,NAW,0.25,bison,2,0,395.4190063,4530,0.270747929,142.2,256.5,384.1,2981,5,2022,5,2022,bison2
2495,veg_N2B_01,N2B,5/30/2022,708078,4329058,0.2,0.2,0,20,0,20,0.3,NAW,0.4,bison,2,0,393.1450195,4590,0.216811943,142.2,256.5,384.1,2981,5,2022,5,2022,bison2
2496,veg_N2B_05,N2B,5/30/2022,708255,4328906,0.25,0.2,0,15,10,20,0.1,NAW,0.35,bison,2,0,401.1180115,4530,0.070611347,142.2,256.5,384.1,2981,5,2022,5,2022,bison2
2497,veg_N2B_06,N2B,5/30/2022,707915,4328693,0.25,0.1,0,10,5,10,0.35,NAW,0.2,bison,2,0,416.5810242,4530,0.263352202,142.2,256.5,384.1,2981,5,2022,5,2022,bison2
2498,veg_K2A_01,K2A,5/30/2022,710004,4330551,0.35,0.2,0,0,0,0,0.45,MRB,0.001,ungr,2,1,393.3070068,4590,0.219506908,142.2,256.5,384.1,2981,5,2022,5,2022,ungr2
2499,veg_K1B_06,K1B,5/30/2022,711084,4330379,0.15,0.2,0,0,0,0,0.65,MRB,0.001,ungr,1,1,425.289032,4530,0.172538998,142.2,256.5,384.1,2981,5,2022,5,2022,ungr1
2500,veg_K1B_03,K1B,5/30/2022,710744,4329954,0.4,0.2,0,5,5,10,0.2,ECB,0.15,ungr,1,1,395.507019,4051,0.211377027,142.2,256.5,384.1,2981,5,2022,5,2022,ungr1
2501,veg_K2A_05,K2A,5/30/2022,710217,4330365,0.3,0.2,0,5,5,10,0.3,ECB,0.15,ungr,2,1,388.6410217,4590,0.301115393,142.2,256.5,384.1,2981,5,2022,5,2022,ungr2
2502,veg_K1B_07,K1B,5/30/2022,711407,4330206,0.3,0.2,0,10,5,15,0.2,ECB,0.25,ungr,1,1,431.0210266,4530,0.378948675,142.2,256.5,384.1,2981,5,2022,5,2022,ungr1
2503,veg_K1B_02,K1B,5/30/2022,711243,4330030,0.8,0.001,0,0,0,0,0.2,MRB,0.001,ungr,1,1,416.5520325,4530,0.149896144,142.2,256.5,384.1,2981,5,2022,5,2022,ungr1
2504,veg_K1B_10,K1B,5/30/2022,711085,4329997,0.45,0.3,0,0,0,5,0.2,ECB,0.05,ungr,1,1,411.7540283,4530,0.064324641,142.2,256.5,384.1,2981,5,2022,5,2022,ungr1
2505,veg_K1B_08,K1B,5/30/2022,711452,4329834,0.8,0.12,0,0,0,0,0.08,MRB,0.001,ungr,1,1,438.1850281,4530,0.020220184,142.2,256.5,384.1,2981,5,2022,5,2022,ungr1
2506,veg_K1B_05,K1B,5/30/2022,711299,4329680,0.35,0.45,0,0,0,5,0.15,ECB,0.05,ungr,1,1,413.5770264,4530,0.133893815,142.2,256.5,384.1,2981,5,2022,5,2022,ungr1
